student_id,age,gender,study_hours,attendance,previous_grade,extracurricular,final_grade
1,18,Male,6,92,78,Yes,A
2,19,Female,4,85,72,No,B
3,18,Male,7,95,88,Yes,A
4,20,Female,3,76,65,No,C
5,19,Male,5,89,75,Yes,B
6,18,Female,8,97,91,Yes,A
7,21,Male,2,68,58,No,D
8,20,Female,6,90,82,Yes,A
9,19,Male,4,81,70,No,B
10,18,Female,5,87,76,Yes,B
11,21,Female,3,72,61,No,C
12,20,Male,7,94,86,Yes,A
13,19,Female,6,91,80,Yes,A
14,22,Male,2,65,55,No,D
15,18,Male,5,88,74,No,B
16,20,Female,4,79,68,Yes,C
17,19,Male,8,96,90,Yes,A
18,21,Female,3,74,63,No,C
19,18,Female,7,93,85,Yes,A
20,20,Male,5,86,77,No,B
21,19,Female,4,82,69,No,B
22,22,Male,2,70,57,No,D
23,18,Male,6,94,83,Yes,A
24,20,Female,5,89,79,Yes,B
25,19,Male,3,77,66,No,C
26,21,Female,6,92,81,Yes,A
27,18,Male,4,84,71,No,B
28,20,Female,7,95,87,Yes,A
29,22,Female,2,69,59,No,D
30,19,Male,5,88,76,Yes,B
31,18,Female,6,90,82,Yes,A
32,21,Male,3,75,64,No,C
33,20,Female,4,83,70,No,B
34,19,Male,7,96,89,Yes,A
35,22,Male,2,67,56,No,D
36,18,Female,5,86,75,Yes,B
37,20,Male,6,91,80,Yes,A
38,21,Female,3,73,62,No,C
39,19,Male,4,85,73,No,B
40,18,Female,8,98,92,Yes,A
